id,title,price,description,category,image,rating_score,rating_count,price_tier,rating_tier,value_score,popularity_score,performance_category,revenue_potential,title_length,description_length
1000,LG Headphones - Reactive explicit product,134.19,Premium headphones from LG. Officer relate animal direction eye bag. Term herself law street class. Decide environment view possible participant commercial. Clear here writer policy news.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,5.0,121,Budget,Excellent,3.7260600640882333,0.013516532618409294,Value Champion,81.18495,41,187
1001,Google Smartphones - Multi-lateral directional challenge,618.88,"Premium smartphones from Google. Before another body physical society instead as. Other life edge network wall quite. Race Mr environment political.
Itself law west then enjoy. Seven medical blood personal success medical current.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,3.9,583,Budget,Good,0.6301706308169597,0.06512511170688115,Overpriced,1407.1474559999997,56,230
1002,Samsung Smart_Home - Virtual national throughput,2987.5369665281883,Premium smart_home from Samsung. Process water close month. Institution deep much role cut find yet practice.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.8937153418473285,454,Budget,Good,0.13033195523509147,0.05071492403932082,Overpriced,5281.208808491703,48,109
1003,Bose Laptops - Open-source maximized superstructure,1795.29,"Premium laptops from Bose. Art rock song body.
Movie cell contain leg themselves. Kitchen technology nearly anything.
Why unit support. Image loss ten total. Her world enter six.",electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,5.0,280,Budget,Excellent,0.2785065365484128,0.03127792672028597,Premium Star,2513.406,51,178
1004,Google Headphones - Progressive cohesive approach,1982.27,Premium headphones from Google. Surface attention attack technology. Build three east organization people information. North first end prove fire enter capital population.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,4.0,325,Budget,Good,0.20178885822819292,0.0363047363717605,Overpriced,2576.951,49,171
1005,Nintendo Headphones - Switchable bi-directional challenge,1642.18,"Premium headphones from Nintendo. Threat score choice example. Response data plant enough major.
Plant stop analysis four.
Claim kind relationship night born. Nation strong old challenge.",electronics,https://fakestoreapi.com/img/71kWymZ+c+L._AC_SX679_.jpg,4.5,278,Budget,Excellent,0.27402598984276993,0.03105451295799821,Premium Star,2054.36718,57,187
1006,Nikon Tablets - Customer-focused heuristic time-frame,1594.397381176167,"Premium tablets from Nikon. Wind see understand door class son. Thing agent say forward. Soon ten specific environment skin blue.
Develop staff least figure somebody dinner age.",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.137997856986628,107,Budget,Excellent,0.25953365866256495,0.011952636282394995,Premium Star,705.9445852746516,53,177
1007,LG Gaming - Right-sized intermediate hardware,3186.9,"Premium gaming from LG. Paper memory history office effort remember. Mind southern rather. Hair attorney professional form finish.
Medical project for recent never. Inside wait quality total past.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,5.0,86,Budget,Excellent,0.15689227776208856,0.009606791778373548,Premium Star,1370.367,45,196
1008,Dell Audio - Horizontal multimedia protocol,4693.47,Premium audio from Dell. Behavior weight dog financial southern challenge. Each little sure. Lay though offer responsibility. Manager during prevent accept seem show.,electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.1,16,Budget,Excellent,0.0873554108154521,0.0017873100983020554,Premium Star,307.89163199999996,43,166
1009,JBL Smart_Home - Right-sized foreground system engine,196.8677151852229,Premium smart_home from JBL. Spring throughout interview trade knowledge city technology late. Style everyone sing machine dream. Back experience even floor music catch.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.067683045272778,48,Budget,Fair,1.5582458720499448,0.005361930294906166,Budget Basic,28.98853209769433,53,169
1010,Nintendo Laptops - Virtual object-oriented implementation,1722.32,Premium laptops from Nintendo. Wall fear hope. Mrs same son today major event. Ahead from quickly identify close level camera.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.9,721,Budget,Good,0.2264387570254076,0.08054066130473637,Overpriced,4842.991608,57,126
1011,Bose Tablets - Face-to-face solution-oriented architecture,180.58,"Premium tablets from Bose. Wear current after.
Call prove nor design record. Cold parent security boy standard who.
Agent find quality when however resource away real. Drug recent feeling range south someone not American.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,3.5,173,Budget,Fair,1.9381991361169564,0.019325290437890975,Budget Basic,109.34119,58,221
1012,Google Audio - Reverse-engineered encompassing Graphic Interface,139.84,"Premium audio from Google. Everything late seek now. From management foot maintain great election.
Red everybody act way beat result major serve. Position make society behavior develop reality fill.",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.2,338,Budget,Excellent,3.0034324942791764,0.03775692582663092,Value Champion,198.51686400000003,64,198
1013,Samsung Accessories - De-engineered even-keeled analyzer,159.79,"Premium accessories from Samsung. Factor want point sell bill activity expect.
Future whole education technology box assume. Available picture approach chance none fight yes. Newspaper indicate other peace.",electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.3,34,Budget,Excellent,2.6910319794730584,0.0037980339588918675,Value Champion,23.361297999999994,56,206
1014,LG Smart_Home - Focused executive strategy,272.0255842230543,"Premium smart_home from LG. Author do enough social operation sound cup. Name positive training step.
Coach film see notice. Keep light fight I evening.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.407784730456701,10,Budget,Excellent,1.6203566819076936,0.0011170688114387846,Value Champion,11.990302164319418,42,152
1015,LG Laptops - Monitored incremental groupware,238.42,Premium laptops from LG. Tax form really explain. Spend nearly lawyer fire follow wife. Ten stay ability thank left approach.,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.1,229,Budget,Excellent,1.7196543914101166,0.02558087578194817,Value Champion,223.85253799999995,44,125
1016,Amazon Smartphones - Customizable maximized capability,885.03,"Premium smartphones from Amazon. Usually factor relate indeed lot line lead. Himself two meet these.
Significant take future skin environment. Executive fear only.",electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,2.9,61,Budget,Fair,0.32767250827655564,0.006814119749776586,Overpriced,156.561807,54,163
1017,Nikon Accessories - Streamlined coherent methodology,670.77,"Premium accessories from Nikon. Maybe opportunity thank them.
Moment lead reveal improve. Avoid sit enter perhaps. Power system system teacher here first.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.8,37,Budget,Excellent,0.715595509638177,0.004133154602323503,Premium Star,119.12875199999999,52,154
1018,Nikon Smart_Home - Digitized dynamic moderator,151.0,Premium smart_home from Nikon. Radio conference company participant him raise marriage. Central leave effect effort act source top quality. Available war write federal.,electronics,https://fakestoreapi.com/img/61mtL65D4cL._AC_SX679_.jpg,4.0,386,Budget,Good,2.6490066225165565,0.04311885612153709,Budget Basic,233.144,46,168
1019,Nikon Audio - User-friendly modular forecast,453.13,Premium audio from Nikon. Soon despite couple economy sense should race carry. Tough position final kid.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,3.7,655,Budget,Good,0.8165427140114316,0.07316800714924039,Overpriced,1098.160555,44,104
1020,Apple Laptops - Multi-lateral background utilization,195.35,"Premium laptops from Apple. Enough buy happy. Once state wait board doctor. People wall foreign.
Positive play less red power. Cause watch fight manage. Doctor Mr home he. Industry score choice increase between majority impact.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,3.4,48,Budget,Fair,1.7404658305605323,0.005361930294906166,Budget Basic,31.881119999999996,52,227
1021,Canon Tablets - Multi-channeled analyzing infrastructure,197.8,Premium tablets from Canon. Why we station begin deep. Wife anything four writer skin day stop never.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,2.8,101,Budget,Fair,1.415571284125379,0.011282394995531724,Budget Basic,55.937839999999994,56,101
1022,Nintendo Audio - Profound optimizing benchmark,2464.39,Premium audio from Nintendo. Develop past road training probably feeling poor. Article look husband. Make travel available ball.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.3,256,Budget,Excellent,0.1744853696046486,0.028596961572832886,Premium Star,2712.800512,46,128
1023,Bose Wearables - Upgradable bandwidth-monitored functionalities,234.13,"Premium wearables from Bose. Professor hear check type attack story. It season head candidate. Only no form business.
Test return why outside goal official. Choice lot suggest glass news. Several off southern suddenly.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,4.1,507,Budget,Excellent,1.7511638833126895,0.056635388739946384,Value Champion,486.68603099999996,63,218
1024,JBL Headphones - Diverse web-enabled process improvement,142.91,"Premium headphones from JBL. Evening product magazine kind.
Sense box involve exist question. Money final determine worker area daughter war.
Face build market issue can. Region matter street south author technology amount.",electronics,https://fakestoreapi.com/img/81QpkIctqPL._AC_SX679_.jpg,3.9,289,Budget,Good,2.728990273598768,0.032283288650580874,Budget Basic,161.07386099999997,56,223
1025,LG Gaming - Ameliorated fresh-thinking concept,1274.94,Premium gaming from LG. Story turn because such during open model. That second develop single baby plan. Member town glass road standard spring door. Eight community check service.,electronics,https://fakestoreapi.com/img/61U7T1koQqL._AC_SX679_.jpg,4.5,33,Budget,Excellent,0.3529577862487646,0.003686327077747989,Premium Star,189.32859,46,180
1026,Nikon Smartphones - Cloned methodical intranet,60.99,Premium smartphones from Nikon. Someone option goal avoid left. Arm story baby. Past medical leg never. Last special prepare.,electronics,https://fakestoreapi.com/img/61IBBVJvSDL._AC_SY879_.jpg,3.5,459,Budget,Fair,5.7386456796196095,0.051273458445040214,Budget Basic,97.980435,46,125
