id,title,price,description,category,image,rating_score,rating_count,value_score,popularity_score,performance_category,revenue_potential,title_length,description_length
1000,Apple Smartphones - Sharable bifurcated algorithm,1496.02,Quality smartphones from Apple. Development say quality throughout beautiful. All behavior discussion own night respond.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.9,196,0.32753572813197684,0.021894548704200177,Premium Star,1436.777608,49,120
1001,Dell Smartphones - Reactive explicit product,503.69,Quality smartphones from Dell. Director allow firm environment. Tree note responsibility defense material. Central cause seat much section investment on.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.4,309,0.8735531775496834,0.03451742627345845,Premium Star,684.8169240000001,44,153
1002,HP Headphones - Customizable systemic monitoring,1155.25,Quality headphones from HP. Born itself law west then enjoy. Seven medical blood personal success medical current.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.9,583,0.3375892663925557,0.06512511170688115,Overpriced,2626.6919249999996,48,114
1003,Bose Smartphones - Virtual national throughput,238.6,Quality smartphones from Bose. Process water close month. Institution deep much role cut find yet practice.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.8,442,2.0117351215423303,0.04937444146559428,Value Champion,506.21376,46,107
1004,Samsung Headphones - Open-source maximized superstructure,1126.48,"Quality headphones from Samsung. Art rock song body.
Movie cell contain leg themselves. Kitchen technology nearly anything.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,5.0,280,0.44386052126979614,0.03127792672028597,Premium Star,1577.072,57,123
1005,Dell Smartphones - Persevering executive interface,1557.48,Quality smartphones from Dell. Choice father why often my security arm. Live try most arm meet surface attention attack. Identify walk now often always.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.9,321,0.25040449957623856,0.03585790884718499,Overpriced,1949.809212,50,152
1006,Dell Tablets - Compatible 24/7 knowledgebase,1356.84,Quality tablets from Dell. Reach table measure economy traditional. Begin interest everybody. Four capital woman.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.5,278,0.33165295834438846,0.03105451295799821,Premium Star,1697.4068399999999,44,113
1007,Sony Laptops - Balanced heuristic database,951.41,"Quality laptops from Sony. Government nice themselves wind. Understand door class son.
Agent say forward us soon ten. Environment skin blue the teach.",electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,3.6,108,0.37838576428669035,0.012064343163538873,Overpriced,369.908208,42,150
1008,Canon Cameras - Cloned zero administration focus group,464.62,Quality cameras from Canon. Hundred wonder movie voice boy wife condition. Although others generation skill job. Break tonight couple and job mind southern.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,5.0,69,1.0761482501829451,0.007707774798927614,Premium Star,160.2939,54,156
1009,HP Speakers - Ergonomic intangible secured line,1506.68,Quality speakers from HP. Past feeling nature a. Decision size parent focus kid. Memory soldier where save probably.,electronics,https://fakestoreapi.com/img/81Zt42ioCgL._AC_SX679_.jpg,4.4,143,0.29203281386890384,0.01597408400357462,Premium Star,948.0030560000001,47,116
